image,color_0,color_1,color_2,color_3,color_4
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000858.jpg,#070507,#05545f,#651b26,#bfa5a7,#ca3513
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000448.jpg,#150202,#7a100d,#c99d49,#f0e5d0,#1b4c41
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235715.jpg,#d7e2eb,#112946,#010206,#507d9f,#e00223
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000035.jpg,#e9eaea,#020304,#dc842b,#4e4d69,#a095b9
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000622.jpg,#4a5192,#030509,#c9c5f4,#898dda,#e20124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235551.jpg,#d7d6d0,#050404,#8b9ca0,#37474d,#af373f
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001609.jpg,#020509,#262f50,#24758f,#a09db8,#edecf1
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001538.jpg,#282d60,#020207,#3e639b,#af8ec8,#54b7c7
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001451.jpg,#02030b,#1a2581,#2873c6,#ebe9f3,#8b43a9
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235811.jpg,#dbe3e6,#000000,#9ca9a5,#46564b,#ce4c24
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000401.jpg,#000303,#0b2224,#425049,#b8c2c4,#e30124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001755.jpg,#010a22,#072e90,#3578da,#c9ccf1,#dc0627
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001442.jpg,#314497,#000103,#319edd,#bdaeea,#e00224
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235507.jpg,#0b0703,#ddd1c0,#683d17,#a88c66,#e00b27
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235848.jpg,#dad6d6,#010000,#242a24,#877591,#e74116
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001118.jpg,#2162c9,#020105,#7f79e0,#392a82,#c9d8f7
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000827.jpg,#1e024c,#620863,#000000,#c41c55,#c9b4c0
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001043.jpg,#0d070c,#6f0e19,#de4a29,#857577,#f4c076
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235636.jpg,#c1acb2,#f3f2f1,#51627c,#000000,#eb2a19
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001141.jpg,#dd2d82,#622c79,#020000,#ee9da4,#6e97a9
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235544.jpg,#060305,#daccbb,#ef9d18,#d43032,#676477
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000258.jpg,#7c1d20,#8d736f,#d4cfbd,#e67927,#24090a
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001918.jpg,#050509,#0d3f50,#431e31,#2a848c,#a56063
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001153.jpg,#020008,#300844,#44269d,#9a8ac4,#c71797
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000329.jpg,#ecedef,#000101,#234c43,#c3ba96,#936850
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000438.jpg,#030816,#c8cad9,#0f4885,#ad4f2c,#deaa6b
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001014.jpg,#1b2b48,#851559,#010204,#64698d,#ebe2e8
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001133.jpg,#7f796f,#39483c,#030302,#d1c7b2,#1db9c1
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235741.jpg,#f7f7f5,#a57358,#b6c1b5,#16161b,#3c5993
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235438.jpg,#f6f7f4,#030304,#557d8a,#d5b291,#ea5628
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000027.jpg,#f8f6f4,#040708,#837eaf,#c8ae38,#c41134
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001846.jpg,#5e7285,#1e3365,#010206,#8f98c4,#e10225
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235817.jpg,#e4ddcb,#010301,#53768c,#d13b4a,#eaa731
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235936.jpg,#020902,#e5e4e6,#47608f,#c8b21d,#c02029
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000905.jpg,#0e0409,#8e27b2,#490d4c,#f5b4da,#b61e2a
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235752.jpg,#f0f0ee,#040506,#afa799,#3d4d75,#d34c26
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235721.jpg,#89728e,#000000,#c4a9b6,#592f47,#e4d5d0
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001749.jpg,#000001,#65525c,#6a75a4,#98c2cf,#293564
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235931.jpg,#ecedee,#000000,#9ca090,#37496a,#ce2529
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001814.jpg,#242361,#574c4a,#000000,#53529d,#8799d1
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001341.jpg,#020301,#f8c6bc,#f0655c,#53564e,#c61714
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000103.jpg,#0b0415,#f8d9ce,#8f9fd5,#fa7a05,#dc8c67
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001826.jpg,#040108,#240b53,#522ecc,#a82b61,#dfcae2
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001255.jpg,#e7330d,#020000,#603809,#c8a52f,#f7f4e8
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000534.jpg,#a97792,#000000,#89466b,#e4a681,#e6dace
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235853.jpg,#f3f3f2,#010201,#bcba9a,#4b5c64,#d2292b
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000852.jpg,#5f115a,#010004,#d742bb,#6e22c5,#eae1f1
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001856.jpg,#07090f,#10244e,#1f579e,#73a8d9,#e30124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000343.jpg,#eceef1,#000001,#8383ca,#3c458f,#e30125
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000719.jpg,#0d010a,#5e0b49,#bc14a7,#db262d,#a1d9e1
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000745.jpg,#020106,#290d4b,#812a92,#c768cd,#f2d1ea
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000202.jpg,#07050a,#332652,#636198,#adb2db,#c07434
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235516.jpg,#ddd4c8,#000000,#b5a48c,#645c50,#e30124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000927.jpg,#c9cfe3,#010002,#a33167,#360f4e,#e68826
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001048.jpg,#0b080c,#5a3350,#838190,#dad7d7,#12797a
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000124.jpg,#050204,#59284f,#c96425,#e4c39b,#906793
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235908.jpg,#f2f1f2,#010101,#ddbdc0,#546165,#d86045
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000703.jpg,#04040a,#1f284d,#6e4d5e,#d47347,#d2c6c7
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000640.jpg,#522950,#010001,#94557d,#d47248,#ead3bf
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235902.jpg,#fbfbf9,#010000,#d9bebf,#9d654b,#263549
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001307.jpg,#d01831,#e5990c,#050400,#6f161f,#f0ddc9
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235527.jpg,#00070d,#c9c6c4,#0e3c66,#668ba4,#e20125
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000012.jpg,#000000,#3a154b,#70528f,#e1dbe3,#d0322f
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000501.jpg,#046386,#0e0104,#08a6bf,#d30419,#87e8ed
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001741.jpg,#020308,#412e55,#3d6ab9,#f8fcfc,#6eb4ee
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001420.jpg,#010103,#2e4256,#c75b41,#4f8ca2,#eae6e3
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000725.jpg,#060206,#481942,#910d69,#e4029c,#f5eff4
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001640.jpg,#04010a,#c62f56,#3d1e4e,#0e6178,#c6c7ca
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001652.jpg,#473967,#338ca9,#918195,#c3d1c2,#010003
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000813.jpg,#441038,#040208,#d13f35,#782967,#eaa56d
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235532.jpg,#030104,#e6d5dc,#421e44,#b98ab8,#8d417a
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235614.jpg,#040205,#1a2f49,#bc9195,#4e5e74,#ae3c45
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001410.jpg,#701d2d,#010100,#d53f4f,#ecc6c7,#977507
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001709.jpg,#010717,#032167,#1659d0,#c0c4ef,#9f4555
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235502.jpg,#030201,#7f4510,#c09715,#c2b693,#e3dccc
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235642.jpg,#183046,#a2586a,#000000,#eab3b9,#c7838e
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235924.jpg,#fafaf9,#000000,#405059,#b2aba0,#de2325
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000525.jpg,#030107,#281545,#694b84,#c8831e,#b8aacf
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001547.jpg,#070707,#44384a,#697693,#5fc7bf,#e3e3e7
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235521.jpg,#0b0b0b,#e2ddd7,#534447,#75797a,#b6b1a9
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001243.jpg,#d0212c,#e99a0a,#030000,#6e1121,#ecd5c0
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001005.jpg,#000001,#3c435e,#16213b,#845a8b,#cabbce
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235457.jpg,#c3c1a9,#0f3515,#000100,#7c843e,#eff0ea
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000351.jpg,#000001,#273256,#c9b9c6,#767b94,#e20124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000209.jpg,#f4ebec,#010101,#eca394,#fcc812,#f45245
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001110.jpg,#2c122a,#010001,#b9092b,#4b3494,#d49dcb
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000133.jpg,#efecef,#000001,#4a4269,#9886a9,#e30124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001312.jpg,#e6310c,#030100,#593c16,#d1aa23,#e2eedf
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000040.jpg,#eaebeb,#030102,#14363a,#3b7272,#8b1916
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001819.jpg,#030304,#58515e,#49202e,#9e87b0,#f9f3f8
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000335.jpg,#f0f1f2,#010101,#9a9596,#cecfc3,#e30125
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001906.jpg,#020112,#061a83,#2059ca,#77aaf5,#e20225
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000658.jpg,#020003,#a52055,#f66811,#331b67,#bf8dc7
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000323.jpg,#0a080c,#3d3045,#76627e,#e20225,#ece9ec
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000833.jpg,#1067b3,#7e2583,#000001,#95bbce,#e5611c
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235941.jpg,#030402,#e5dee0,#2c8180,#b1a42c,#a5176e
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001430.jpg,#a50c0d,#0c0202,#15413d,#10b8ac,#bacec6
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000317.jpg,#040507,#ededf1,#4b2f50,#8e77a1,#e30124
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000113.jpg,#030202,#943908,#d16b15,#f7c182,#6d7176
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000807.jpg,#5b35b0,#000005,#351269,#a78acb,#f8f5f9
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235708.jpg,#011623,#cdd6db,#0c5268,#759ba7,#e40024
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000306.jpg,#020204,#75b4be,#b3dedd,#226d81,#eb9328
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001833.jpg,#020109,#341b84,#745bd1,#613d3f,#e1d3f2
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001459.jpg,#2d1f48,#424399,#000001,#7c89d0,#d2d2ee
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235920.jpg,#f4f4f3,#030202,#c5b399,#5f6e7d,#d51d30
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001803.jpg,#08010a,#c8c8c2,#32237d,#bb0b51,#cb57ad
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235446.jpg,#070806,#d0c6c3,#799aa9,#3a4a5c,#ad303b
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000152.jpg,#f4a154,#b59ab2,#000000,#d14218,#683841
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001517.jpg,#02030d,#1e2b5d,#217ad4,#8f439c,#c6dbe7
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001033.jpg,#080815,#421324,#0e4f7b,#b8273a,#43add5
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000939.jpg,#060205,#e66b38,#4c1844,#863890,#ebc5d3
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001230.jpg,#13070a,#b72244,#676550,#e18038,#d2c1c3
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000759.jpg,#0e010b,#270c50,#4d38ab,#910548,#bbbbca
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000550.jpg,#000000,#b6b9d5,#eee8ef,#855f96,#317a98
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001332.jpg,#0a0707,#5b1f22,#4cced5,#d0d3cf,#3c8085
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001927.jpg,#884670,#318b9c,#010001,#3d3a65,#9896a6
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251228-235702.jpg,#0c0609,#6f252f,#2e384e,#958f89,#e9e7e2
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-000515.jpg,#040509,#1a3455,#dbc19f,#ab6d3c,#4f78a5
C:\Users\frank\OneDrive\Pictures\Camera Roll\Documents\CODING - Copy (2)\final year project\ui_images\Screenshot_20251229-001055.jpg,#020202,#222728,#2ea724,#552a6f,#aecf79
